info,name,spoint,addr,chanquan,period,describe,price,payment,housepr,mating,other,lease
,MBA国际公寓 精装大单间 安静望暨大,,1室0厅43平米北,,租赁周期： 暂无数据,,3600元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,石牌租房石牌租房 / 低楼层(共29层) / 2007年建塔楼,租赁方式： 整租
,铂林国际 复式户型 精致装修,,1室1厅42平米北,,租赁周期： 暂无数据,,5000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共22层) / 2005年建塔楼,租赁方式： 整租
,双城国际公寓 带阳台 干净整洁,,1室1厅46平米北,,租赁周期： 暂无数据,,5000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共29层) / 1998年建塔楼,租赁方式： 整租
,南向带阳台 干净整洁带阳台,,1室0厅37平米南,,租赁周期： 暂无数据,,4500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共29层) / 1998年建塔楼,租赁方式： 整租
,朱美拉公寓 3室2厅 12000元,,3室2厅139平米南,,租赁周期： 暂无数据,,12000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 低楼层(共45层) / 2009年建塔楼,租赁方式： 整租
,汇峰国际公寓 精致1房 保养新净,,1室1厅43平米西,,租赁周期： 暂无数据,,5300元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共43层) / 2008年建塔楼,租赁方式： 整租
,3+1户型 高层 视野开阔,,3室2厅116平米西南,,租赁周期： 暂无数据,,12000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共29层) / 2004年建塔楼,租赁方式： 整租
,温馨一房，格局方正 ，风采光很好,,1室1厅43平米南,,租赁周期： 暂无数据,,3800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河南租房天河南租房 / 中楼层(共7层) / 1993年建塔楼,租赁方式： 整租
,利雅湾 东南向三房望花园 安静采光好,,3室2厅125平米东南,,租赁周期： 暂无数据,,11000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 低楼层(共31层) / 2004年建塔楼,租赁方式： 整租
,嘉裕礼顿阳光 温馨2房 装修好 保养好,,2室1厅81平米东,,租赁周期： 暂无数据,,8000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 低楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,远洋明珠 实用两房 重新装修 保养好,,2室2厅65平米北,,租赁周期： 暂无数据,,4800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共25层) / 1998年建塔楼,租赁方式： 整租
,嘉裕礼顿阳光 家私家电齐 保养新净,,1室0厅43平米南,,租赁周期： 暂无数据,,4800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,保林苑 安静东南向 户型方正,,2室2厅86平米东,,租赁周期： 暂无数据,,7500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共32层) / 2009年建塔楼,租赁方式： 整租
,星汇云锦 高层两房 采光好 交通方便,,2室2厅98平米西南,,租赁周期： 暂无数据,,12000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共45层) / 2010年建塔楼,租赁方式： 整租
,昌乐园 户型方正 低层两房,,2室1厅58平米南,,租赁周期： 暂无数据,,2800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,员村租房员村租房 / 中楼层(共7层) / 1994年建塔楼,租赁方式： 整租
,云宁居 电梯三房 交通生活便利,,3室2厅84平米东 西,,租赁周期： 暂无数据,,2500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,沙太南租房沙太南租房 / 高楼层(共9层) / 1999年建塔楼,租赁方式： 整租
,中海璟晖 精装修3房 温馨舒适 环境优美,,3室2厅134平米南 北,,租赁周期： 暂无数据,,18000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共32层) / 2007年建塔楼,租赁方式： 整租
,协和新世界 温馨精致两房 带大型绿化小区,,2室2厅96平米西北,,租赁周期： 暂无数据,,6000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河北租房天河北租房 / 中楼层(共33层) / 2008年建塔楼,租赁方式： 整租
,汇峰国际公寓 东向一房 有K随时可看,,1室0厅43平米东,,租赁周期： 暂无数据,,5500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共43层) / 2008年建塔楼,租赁方式： 整租
,碧海湾 南向望江景光好 精致装修,,4室2厅185平米东南,,租赁周期： 暂无数据,,13000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共28层) / 2003年建塔楼,租赁方式： 整租
,保利香槟花园 方正四房 配套精致,,4室2厅149平米南 北,,租赁周期： 暂无数据,,13000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共29层) / 2004年建塔楼,租赁方式： 整租
,马赛国际公寓 实用两房 望花园小蛮腰,,2室1厅77平米西南,,租赁周期： 暂无数据,,4500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城东租房珠江新城东租房 / 低楼层(共33层) / 2006年建塔楼,租赁方式： 整租
,骏景花园 装修保养好 户型方正 看房方便,,3室2厅92平米北,,租赁周期： 暂无数据,,5000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,棠下租房棠下租房 / 高楼层(共13层) / 2000年建塔楼,租赁方式： 整租
,东方都会广场 复式一房一厅 保养好 家电,,1室2厅39平米北,,租赁周期： 暂无数据,,3500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河公园租房天河公园租房 / 中楼层(共22层) / 2004年建塔楼,租赁方式： 整租
,协和新世界 舒适三房 视野开阔 花园小区,,3室2厅109平米西南,,租赁周期： 暂无数据,,9000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河北租房天河北租房 / 中楼层(共32层) / 2008年建塔楼,租赁方式： 整租
,东方都会广场 复式一房一厅 家电齐,,1室2厅44平米南,,租赁周期： 暂无数据,,3900元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河公园租房天河公园租房 / 中楼层(共23层) / 2004年建塔楼,租赁方式： 整租
